name,title
season,季別
vq1,旅遊次數
vq1a,請問當日來回的有幾次？
vq1b,請問2天1夜的有幾次？
vq1c,請問3天2夜的有幾次？
vq1d,次請問4天3夜的有幾次？
vq1e,請問5天4夜或以上的有幾次？
vq2,請問您沒有在國內旅遊最主要的原因是？
vq2a_1,請問您本季受到新冠肺炎疫情影響而沒有在國內旅遊的原因1?
vq2a_2,請問您本季受到新冠肺炎疫情影響而沒有在國內旅遊的原因2?
vq2a_3,請問您本季受到新冠肺炎疫情影響而沒有在國內旅遊的原因3?
vq2a_4,請問您本季受到新冠肺炎疫情影響而沒有在國內旅遊的原因4?
vq2a_5,請問您本季受到新冠肺炎疫情影響而沒有在國內旅遊的原因5?
vq17,請問您對這1季所到過的遊覽地區的整體滿意度是？
vq17_1,請問您對這1季所到過的遊覽地區不滿意的項目1？
vq17_2,請問您對這1季所到過的遊覽地區不滿意的項目2？
vq17_3,請問您對這1季所到過的遊覽地區不滿意的項目3？
vq17_4,請問您對這1季所到過的遊覽地區不滿意的項目4？
vq17_5,請問您對這1季所到過的遊覽地區不滿意的項目5？
vq17_6,請問您對這1季所到過的遊覽地區不滿意的項目6？
vq17_7,請問您對這1季所到過的遊覽地區不滿意的項目7？
vq17_8,請問您對這1季所到過的遊覽地區不滿意的項目8？
vq17_9,請問您對這1季所到過的遊覽地區不滿意的項目9？
vq17_10,請問您對這1季所到過的遊覽地區不滿意的項目10？
vq17_11,請問您對這1季所到過的遊覽地區不滿意的項目11？
vq17_12,請問您對這1季所到過的遊覽地區不滿意的項目12？
vq17_13,請問您對這1季所到過的遊覽地區不滿意的項目13？
vq17a1_1,1.請問您對這些地方的天然資源維護與自然景觀不滿意的原因1
vq17a1_2,1.請問您對這些地方的天然資源維護與自然景觀不滿意的原因2
vq17a1_3,1.請問您對這些地方的天然資源維護與自然景觀不滿意的原因3
vq17a2_1,2.請問您對這些地方的環境管理與維護不滿意的原因1
vq17a2_2,2.請問您對這些地方的環境管理與維護不滿意的原因2
vq17a2_3,2.請問您對這些地方的環境管理與維護不滿意的原因3
vq17a2_4,2.請問您對這些地方的環境管理與維護不滿意的原因4
vq17a3_1,3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因1
vq17a3_2,3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因2
vq17a3_3,3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因3
vq17a3_4,3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因4
vq17a4_1,4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因1
vq17a4_2,4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因2
vq17a4_3,4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因3
vq17a4_4,4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因4
vq17a5_1,5.請問您對這些地方住宿設施不滿意的原因1
vq17a5_2,5.請問您對這些地方住宿設施不滿意的原因2
vq17a5_3,5.請問您對這些地方住宿設施不滿意的原因3
vq17a6_1,6.請問您對這些地方的餐飲設施不滿意的原因1
vq17a6_2,6.請問您對這些地方的餐飲設施不滿意的原因2
vq17a6_3,6.請問您對這些地方的餐飲設施不滿意的原因3
vq17a6_4,6.請問您對這些地方的餐飲設施不滿意的原因4
